Region Name,Indicator,Indicator Name,Indicator - Note,Indicator - Source,Indicator - unit,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,AAC,Persons Obtaining Legal Permanent Resident Status,Legal permanent residents (LPRs) are persons who have been granted lawful permanent residence in the United States. They are also known as “green card” recipients,U. S. Department of Homeland Security,Number of persons,Number of persons,,,,,,,,,,,,,,703542.0,957883.0,1122257.0,1266129.0,1052415.0,1107126.0,1130818.0,1042625.0,1062040.0,1031631.0,990553.0,1016518.0,1051031.0,
United States,AAD,Total Federal Government Expenditure,"Include federal expenditures or obligation for the grants, salaries and wages, procurement contracts, direct payments for individuals, including retirement and disability and other direct payments. Total expenditure does not include data on contingent liabilities (loans and insurance)","U. S. Census Bureau, Consolidated Federal Funds Report (CFFR)",Millions of dollars,Millions of dollars,,,,,,,1394100.0,1428800.0,1484200.0,1558800.0,1637200.0,1778900.0,1917600.0,2061500.0,2162204.0,2284760.0,2448200.0,2556200.0,2792600.0,3238400.0,3276400.0,,,,,,
United States,AAE,Number of Farms,"A farm is any establishment from which $1,000 or more of agricultural products were sold or would normally be sold during the year. Number of farms and land in farms were revised for 2007 at the U.S. and State level based on the Census of Agriculture",United States Department of Agruculture (USDA),Number,Number,,,,,,,,,,,,2148630.0,2135360.0,2126860.0,2112970.0,2100990.0,2088790.0,2204950.0,2184500.0,2169660.0,2149520.0,2131240.0,2109810.0,2102010.0,2085000.0,2068000.0,2060000.0
United States,AAF,Total Employment,"The BEA employment series for states and local areas comprises estimates of the number of jobs, full-time plus part-time, by place of work. Full-time and part-time jobs are counted at equal weight. Employees, sole proprietors, and active partners are included, but unpaid family workers and volunteers are not included.",U. S. Bureau of Economic Analysis (BEA),Thousands of Jobs,Thousands of Jobs,138330900.0,137612800.0,138166100.0,140774400.0,144196600.0,147915800.0,151056200.0,154541200.0,158481200.0,161531300.0,165370800.0,165519200.0,165159100.0,166026500.0,169036700.0,172557400.0,176123600.0,179885700.0,179639900.0,174233700.0,173034700.0,176278700.0,179081700.0,182408100.0,186168100.0,190195400.0,
United States,AAH,Extended Mass Layoff Events,"Total private nonfarm. Extended mass layoff is an event where 50 or more workers filed initial claims for unemployment insurance benefits from a private nonfarm employer during a consecutive 5-week period, with at least 50 workers separated for more than 30 days. In States with trigger levels of fewer than 50 initial claimants, employers must confirm that 50 or more people were laid off for more than 30 days in order for events to be classified as extended mass layoffs.",U. S. Bureau of Labor Statistics (BLS),Number of Events,Number of Events,,,,,,,,,4859.0,4556.0,4591.0,7375.0,6337.0,6181.0,5010.0,4881.0,4885.0,5363.0,8259.0,11824.0,7247.0,6596.0,6500.0,,,,
United States,AAI,Separations,Separations indicate the number of employees laid off in the extended mass layoff events. Total private nonfarm.,U. S. Bureau of Labor Statistics (BLS),Number,Number,,,,,,,,,991245.0,901451.0,915962.0,1524832.0,1272331.0,1216886.0,993909.0,884661.0,935969.0,965935.0,1516978.0,2108202.0,1257134.0,1112710.0,1257450.0,,,,
United States,AAQ,Average Compensation per Job,Average compensation per job is compensation of employees divided by total full-time and part-time wage and salary employment,U. S. Bureau of Economic Analysis (BEA),dollars,dollars,28544.0,29841.0,31633.0,32372.0,33196.0,33999.0,35125.0,36588.0,38442.0,40118.0,42526.0,43978.0,44991.0,46713.0,48912.0,50722.0,52789.0,54973.0,56429.0,56814.0,58634.0,60188.0,61509.0,62159.0,63801.0,65569.0,
United States,AAG,Drop in Welfare Rolls,,,Number of families on welfare,Number of families on welfare,,,,4963050.0,,,,,,,2208095.0,,,,,,,,,,,,,,,,
United States,AAK,Personal Income,"The personal income of an area is defined as the income that is received by, or on behalf of, all the individuals who live in the area; therefore, the estimates of personal income are presented by the place of residence of the income recipients. Personal income consists of the income that is received by persons from participation in production, from government and business transfer payments, and from government interest (which is treated like a transfer payment). It is calculated as the sum of wage and salary disbursements, other labor income, proprietors' income with inventory valuation and capital consumption adjustments, rental income of persons with capital consumption adjustment, personal dividend income, personal interest income, and transfer payments to persons, less personal contributions for social insurance.",U. S. Bureau of Economic Analysis (BEA),Millions of dollars,Millions of dollars,4890453000.0,5055766000.0,5402109000.0,5639780000.0,5930316000.0,6275761000.0,6661697000.0,7075132000.0,7588703000.0,7988183000.0,8634847000.0,8987890000.0,9150761000.0,9484225000.0,10047876000.0,10610320000.0,11381350000.0,11995419000.0,12492705000.0,12079444000.0,12459613000.0,13233436000.0,13904485000.0,14068960000.0,14801624000.0,15463981000.0,16017781445.0
United States,AAL,Per Capita Personal Income,Calculated as the total personal income of the residents of an area divided by the population of the area. Per capita personal income is often used as an indicator of consumers' purchasing power and of the economic well-being of the residents of an area.,U. S. Bureau of Economic Analysis (BEA),dollars,dollars,19591.0,19985.0,21060.0,21698.0,22538.0,23568.0,24728.0,25950.0,27510.0,28627.0,30602.0,31540.0,31815.0,32692.0,34316.0,35904.0,38144.0,39821.0,41082.0,39376.0,40277.0,42461.0,44282.0,44493.0,46464.0,48190.0,49571.0
United States,AAM,Disposable Personal Income,"Disposable personal income is total personal income minus personal current taxes. Personal current taxes is tax payments (net of refunds) that are made by persons and that are not chargeable to business expense and certain other payments by persons to government agencies (except government enterprises) that are treated like taxes. Personal current taxes includes taxes on income, including realized net capital gains, and on personal property. Also included in personal current taxes are personal licenses. Contributions for government social insurance are not included.",U. S. Bureau of Economic Analysis (BEA),Millions of dollars,Millions of dollars,4297144000.0,4468300000.0,4790365000.0,4991984000.0,5238115000.0,5528191000.0,5825497000.0,6144250000.0,6557273000.0,6877094000.0,7399368000.0,7749676000.0,8097069000.0,8479891000.0,8998339000.0,9398310000.0,10025593000.0,10503618000.0,10986281000.0,10928315000.0,11221631000.0,11781805000.0,12394567000.0,12392741000.0,13016308000.0,13526970000.0,14067627445.0
United States,AAN,Per Capita Disposable Personal Income,"Disposable personal income is total personal income minus personal current taxes. This measure of income is calculated as the disposable personal income of the residents of a given area divided by the resident population of the area. In computing disposable per capita personal income, BEA uses the Census Bureau's annual midyear population estimates.",U. S. Bureau of Economic Analysis (BEA),dollars,dollars,17215.0,17663.0,18675.0,19206.0,19907.0,20761.0,21624.0,22536.0,23771.0,24646.0,26224.0,27195.0,28151.0,29230.0,30731.0,31803.0,33600.0,34869.0,36128.0,35624.0,36275.0,37803.0,39473.0,39192.0,40859.0,42154.0,43536.0
