Indicator,Indicator Name,Indicator - Note,Indicator - Source,Indicator - unit
AAC,Persons Obtaining Legal Permanent Resident Status,Legal permanent residents (LPRs) are persons who have been granted lawful permanent residence in the United States. They are also known as “green card” recipients,U. S. Department of Homeland Security,Number of persons
AAD,Total Federal Government Expenditure,"Include federal expenditures or obligation for the grants, salaries and wages, procurement contracts, direct payments for individuals, including retirement and disability and other direct payments. Total expenditure does not include data on contingent liabilities (loans and insurance)","U. S. Census Bureau, Consolidated Federal Funds Report (CFFR)",Millions of dollars
AAE,Number of Farms,"A farm is any establishment from which $1,000 or more of agricultural products were sold or would normally be sold during the year. Number of farms and land in farms were revised for 2007 at the U.S. and State level based on the Census of Agriculture",United States Department of Agruculture (USDA),Number
AAF,Total Employment,"The BEA employment series for states and local areas comprises estimates of the number of jobs, full-time plus part-time, by place of work. Full-time and part-time jobs are counted at equal weight. Employees, sole proprietors, and active partners are included, but unpaid family workers and volunteers are not included.",U. S. Bureau of Economic Analysis (BEA),Thousands of Jobs
AAH,Extended Mass Layoff Events,"Total private nonfarm. Extended mass layoff is an event where 50 or more workers filed initial claims for unemployment insurance benefits from a private nonfarm employer during a consecutive 5-week period, with at least 50 workers separated for more than 30 days. In States with trigger levels of fewer than 50 initial claimants, employers must confirm that 50 or more people were laid off for more than 30 days in order for events to be classified as extended mass layoffs.",U. S. Bureau of Labor Statistics (BLS),Number of Events
AAI,Separations,Separations indicate the number of employees laid off in the extended mass layoff events. Total private nonfarm.,U. S. Bureau of Labor Statistics (BLS),Number
AAQ,Average Compensation per Job,Average compensation per job is compensation of employees divided by total full-time and part-time wage and salary employment,U. S. Bureau of Economic Analysis (BEA),dollars
AAG,Drop in Welfare Rolls,,,Number of families on welfare
AAK,Personal Income,"The personal income of an area is defined as the income that is received by, or on behalf of, all the individuals who live in the area; therefore, the estimates of personal income are presented by the place of residence of the income recipients. Personal income consists of the income that is received by persons from participation in production, from government and business transfer payments, and from government interest (which is treated like a transfer payment). It is calculated as the sum of wage and salary disbursements, other labor income, proprietors' income with inventory valuation and capital consumption adjustments, rental income of persons with capital consumption adjustment, personal dividend income, personal interest income, and transfer payments to persons, less personal contributions for social insurance.",U. S. Bureau of Economic Analysis (BEA),Millions of dollars
AAL,Per Capita Personal Income,Calculated as the total personal income of the residents of an area divided by the population of the area. Per capita personal income is often used as an indicator of consumers' purchasing power and of the economic well-being of the residents of an area.,U. S. Bureau of Economic Analysis (BEA),dollars
AAM,Disposable Personal Income,"Disposable personal income is total personal income minus personal current taxes. Personal current taxes is tax payments (net of refunds) that are made by persons and that are not chargeable to business expense and certain other payments by persons to government agencies (except government enterprises) that are treated like taxes. Personal current taxes includes taxes on income, including realized net capital gains, and on personal property. Also included in personal current taxes are personal licenses. Contributions for government social insurance are not included.",U. S. Bureau of Economic Analysis (BEA),Millions of dollars
AAN,Per Capita Disposable Personal Income,"Disposable personal income is total personal income minus personal current taxes. This measure of income is calculated as the disposable personal income of the residents of a given area divided by the resident population of the area. In computing disposable per capita personal income, BEA uses the Census Bureau's annual midyear population estimates.",U. S. Bureau of Economic Analysis (BEA),dollars
ABA,People in Poverty,"The percentage of people who are below poverty. Following the Office of Management and Budget's (OMB) Statistical Policy Directive 14, the Census Bureau uses a set of money income thresholds that vary by family size and composition to determine who is in poverty. If a family's total income is less than the family's threshold, then that family and every individual in it is considered in poverty. The official poverty thresholds do not vary geographically, but they are updated for inflation using Consumer Price Index (CPI-U). The official poverty definition uses money income before taxes and does not include capital gains or noncash benefits (such as public housing, Medicaid, and food stamps).",U. S. Census Bureau,Percent
ABB,Violent Crime,"The violent crime figures include the offenses of murder, rape (legacy definition), robbery, and aggravated assault","Federal Bureau of Investigation (FBI), U. S. Department of Justice","Rate per 100,000 Inhabitants"
ABK,Birth Rate,Birth rates are calculated as the number of births divided by total resident population in the given year,"U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",per 1000 population
ABL,Fertility Rate,Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given year,"U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Per 1000 females
ABM,Cancer Incidence,"Cancer case reports are counted by or summed by the cancer reported. For example, a single person with more than one primary cancer verified by a medical doctor is counted as a case report for each type of primary cancer reported. Having more than one primary cancer occurs in less than 20% of the population. The counts report the frequency of verified cancer diagnoses in the selected population and time period. Age-adjusted rates are calculated with age distribution ratios from the Year 2000 ""standard million"" population. An age-adjusted rate is a weighted average of the age-specific (crude) rates, where the weights are the proportions of persons in the corresponding age groups of a standard million population. The potential confounding effect of age is reduced when comparing age-adjusted rates computed using the same standard million population.","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)","Age-Adjusted Rate, 2000 U.S. Std. Million"
ABN,Crude Death Rate,"Crude Rates are expressed as the number of deaths reported each calendar year per 100,000 population. Crude rates are helpful in determining the need for services for a given population, relative to another population, regardless of size. Crude rates are influenced by the underlying age distribution of the state's population. Even if two states have the same age-adjusted rates, the state with the relatively older population (as demonstrated by having a higher median age) will have higher crude rates because incidence or death rates for most cancers increase with increasing age.","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABO,Infant Mortality Rate (< 1 year),"The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the resident population that is under one year of age, not the number of live births","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABP,Child Mortality Rate (1-4 years),,"U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABQ,Chlamydia Incidence,"The rate is calculated as the disease incidence count reported, divided by the population, and then the result is multiplied by 100,000. The data are based on case reports of sexually transmitted diseases submitted by state and local health departments to CDC's Division of STD/HIV Prevention","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABR,Gonorrhea Incidence,"The rate is calculated as the disease incidence count reported, divided by the population, and then the result is multiplied by 100,000. The data are based on case reports of sexually transmitted diseases submitted by state and local health departments to CDC's Division of STD/HIV Prevention","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABS,Primary and Secondary Syphilis Incidence,"The rate is calculated as the disease incidence count reported, divided by the population, and then the result is multiplied by 100,000. The data are based on case reports of sexually transmitted diseases submitted by state and local health departments to CDC's Division of STD/HIV Prevention","U. S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS)",Rate per 100000 Population
ABT,18- to 24-Year-Olds Who Were High School Completers,"High school completers include diploma recipients and those completing high school through alternative credentials, such as a GED.","U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics",Percent
ABU,Population 25 Years Old and Over Who Have Bachelor's or Higher Degree,,"U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics",Percent
ABV,Enrollment in Public Elementary and Secondary Schools,"Actual Data: 1990 - 2013, Projection Data:2014-2025","U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics",Number
ABW,Average Daily Attendance in Public Elementary and Secondary Schools,,"U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics",Number
ABX,Public Elementary and Secondary Teachers,Teachers reported in full-time equivalents (FTE),"U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics",Number
